id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants 
4880162,put,"Map<String,EnumTest>",(Ljava/lang/String;Lcom/orientechnologies/orient/test/domain/base/EnumTest;)Lcom/orientechnologies/orient/test/domain/base/EnumTest;,EnumTest,2,0
4880162,put,"Map<String,EnumTest>",(Ljava/lang/String;Lcom/orientechnologies/orient/test/domain/base/EnumTest;)Lcom/orientechnologies/orient/test/domain/base/EnumTest;,EnumTest,2,1
4880162,put,"Map<String,Child>",(Ljava/lang/String;Lcom/orientechnologies/orient/test/domain/business/Child;)Lcom/orientechnologies/orient/test/domain/business/Child;,Child,2,0
4880162,put,"Map<String,Child>",(Ljava/lang/String;Lcom/orientechnologies/orient/test/domain/business/Child;)Lcom/orientechnologies/orient/test/domain/business/Child;,Child,2,1
4880162,put,"Map<String,Satellite>",(Ljava/lang/String;Lcom/orientechnologies/orient/test/domain/base/Satellite;)Lcom/orientechnologies/orient/test/domain/base/Satellite;,Satellite,2,0
4880162,put,"Map<String,OrientGraph>",(Ljava/lang/String;Lcom/tinkerpop/blueprints/impls/orient/OrientGraph;)Lcom/tinkerpop/blueprints/impls/orient/OrientGraph;,OrientGraph,2,0
4880162,put,"Map<String,OStorageEntryConfiguration>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/config/OStorageEntryConfiguration;)Lcom/orientechnologies/orient/core/config/OStorageEntryConfiguration;,OStorageEntryConfiguration,2,0
4880162,put,"Map<Integer,OLiveQueryClientListener>",(Ljava/lang/Integer;Lcom/orientechnologies/orient/client/remote/OLiveQueryClientListener;)Lcom/orientechnologies/orient/client/remote/OLiveQueryClientListener;,OLiveQueryClientListener,2,0
4880162,put,"Map<String,OCluster>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/storage/OCluster;)Lcom/orientechnologies/orient/core/storage/OCluster;,OCluster,2,0
4880162,put,"Map<String,OStorageRemote>",(Ljava/lang/String;Lcom/orientechnologies/orient/client/remote/OStorageRemote;)Lcom/orientechnologies/orient/client/remote/OStorageRemote;,OStorageRemote,2,0
4880162,put,"Map<T,LockGuard>",(Lcom/orientechnologies/common/concur/lock/T;Lcom/orientechnologies/common/concur/lock/ONotThreadRWLockManager$LockGuard;)Lcom/orientechnologies/common/concur/lock/ONotThreadRWLockManager$LockGuard;,LockGuard,2,0
4880162,put,"ConcurrentHashMap<OPointer,PointerTracker>",(Lcom/orientechnologies/common/directmemory/OPointer;Lcom/orientechnologies/common/directmemory/OByteBufferPool$PointerTracker;)Lcom/orientechnologies/common/directmemory/OByteBufferPool$PointerTracker;,PointerTracker,2,0
4880162,put,"Map<K,V>",(Lcom/orientechnologies/common/factory/K;Lcom/orientechnologies/common/factory/V;)Lcom/orientechnologies/common/factory/V;,V,2,0
4880162,put,"Map<TrackedPointerKey,TrackedPointerReference>",(Lcom/orientechnologies/common/directmemory/ODirectMemoryAllocator$TrackedPointerKey;Lcom/orientechnologies/common/directmemory/ODirectMemoryAllocator$TrackedPointerReference;)Lcom/orientechnologies/common/directmemory/ODirectMemoryAllocator$TrackedPointerReference;,TrackedPointerReference,2,0
4880162,put,"HashMap<K,V>",(Lcom/orientechnologies/common/util/K;Lcom/orientechnologies/common/util/V;)Lcom/orientechnologies/common/util/V;,V,2,0
4880162,put,"Map<ODatabaseLifecycleListener,PRIORITY>",(Lcom/orientechnologies/orient/core/db/ODatabaseLifecycleListener;Lcom/orientechnologies/orient/core/db/ODatabaseLifecycleListener$PRIORITY;)Lcom/orientechnologies/orient/core/db/ODatabaseLifecycleListener$PRIORITY;,PRIORITY,2,0
4880162,put,"Map<String,OEngine>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/engine/OEngine;)Lcom/orientechnologies/orient/core/engine/OEngine;,OEngine,2,0
4880162,put,"Map<SoftReference<V>,K>",(Ljava/lang/ref/SoftReference;Lcom/orientechnologies/orient/core/cache/K;)Lcom/orientechnologies/orient/core/cache/K;,K,2,0
4880162,put,"Map<String,OCollate>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/collate/OCollate;)Lcom/orientechnologies/orient/core/collate/OCollate;,OCollate,2,0
4880162,put,"Map<String,OCompression>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/compression/OCompression;)Lcom/orientechnologies/orient/core/compression/OCompression;,OCompression,2,0
4880162,put,"Map<String,IndexEngineData>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/config/OStorageConfiguration$IndexEngineData;)Lcom/orientechnologies/orient/core/config/OStorageConfiguration$IndexEngineData;,IndexEngineData,2,0
4880162,put,"ConcurrentLinkedHashMap<String,ODatabasePoolInternal>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/db/ODatabasePoolInternal;)Lcom/orientechnologies/orient/core/db/ODatabasePoolInternal;,ODatabasePoolInternal,2,0
4880162,put,"Map<String,OEncryption>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/encryption/OEncryption;)Lcom/orientechnologies/orient/core/encryption/OEncryption;,OEncryption,2,0
4880162,put,"Map<String,OFetchPlanLevel>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/fetch/OFetchPlan$OFetchPlanLevel;)Lcom/orientechnologies/orient/core/fetch/OFetchPlan$OFetchPlanLevel;,OFetchPlanLevel,2,0
4880162,put,"Map<String,OFetchPlanLevel>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/fetch/OFetchPlan$OFetchPlanLevel;)Lcom/orientechnologies/orient/core/fetch/OFetchPlan$OFetchPlanLevel;,OFetchPlanLevel,2,1
4880162,put,"Map<String,ODocument>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/record/impl/ODocument;)Lcom/orientechnologies/orient/core/record/impl/ODocument;,ODocument,2,0
4880162,put,"Map<String,ODocument>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/record/impl/ODocument;)Lcom/orientechnologies/orient/core/record/impl/ODocument;,ODocument,2,1
4880162,put,"Map<String,OGlobalProperty>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/metadata/schema/OGlobalProperty;)Lcom/orientechnologies/orient/core/metadata/schema/OGlobalProperty;,OGlobalProperty,2,0
4880162,put,"Map<String,OResult>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/sql/executor/OResult;)Lcom/orientechnologies/orient/core/sql/executor/OResult;,OResult,2,0
4880162,put,"Map<String,OResult>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/sql/executor/OResult;)Lcom/orientechnologies/orient/core/sql/executor/OResult;,OResult,2,1
4880162,put,"Map<String,OElement>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/record/OElement;)Lcom/orientechnologies/orient/core/record/OElement;,OElement,2,0
4880162,put,"Map<String,OElement>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/record/OElement;)Lcom/orientechnologies/orient/core/record/OElement;,OElement,2,1
4880162,put,"Map<String,OOrBlock>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/sql/parser/OOrBlock;)Lcom/orientechnologies/orient/core/sql/parser/OOrBlock;,OOrBlock,2,0
4880162,put,"TreeMap<String,ResourceGeneric>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/metadata/security/ORule$ResourceGeneric;)Lcom/orientechnologies/orient/core/metadata/security/ORule$ResourceGeneric;,ResourceGeneric,2,0
4880162,put,"Map<String,OSecurityResource>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/metadata/security/OSecurityResource;)Lcom/orientechnologies/orient/core/metadata/security/OSecurityResource;,OSecurityResource,2,0
4880162,put,"Map<String,OSequence>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/metadata/sequence/OSequence;)Lcom/orientechnologies/orient/core/metadata/sequence/OSequence;,OSequence,2,0
4880162,put,"Map<Integer,OLiveQueryListener>",(Ljava/lang/Integer;Lcom/orientechnologies/orient/core/query/live/OLiveQueryListener;)Lcom/orientechnologies/orient/core/query/live/OLiveQueryListener;,OLiveQueryListener,2,0
4880162,put,"Map<String,OGlobalUser>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/security/OGlobalUser;)Lcom/orientechnologies/orient/core/security/OGlobalUser;,OGlobalUser,2,0
4880162,put,"Map<String,OTemporaryGlobalUser>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/security/authenticator/OTemporaryGlobalUser;)Lcom/orientechnologies/orient/core/security/authenticator/OTemporaryGlobalUser;,OTemporaryGlobalUser,2,0
